LAST SEEN   TYPE     REASON                       OBJECT                                                  MESSAGE
10m         Normal   Progressing                  kustomization/kubeflow-profiles                         Health check passed in 89.72789ms
10m         Normal   ResolvedDependencies         helmchart/observability-logs-alloy                      resolved 1 chart dependencies
10m         Normal   ChartPackageSucceeded        helmchart/observability-logs-alloy                      packaged 'alloy-overlay' chart with version '1.0.0+fc9e6eb63f15'
10m         Normal   ArtifactUpToDate             helmchart/cnpg-system-cnpg                              artifact up-to-date with remote revision: '1.0.0'
10m         Normal   GarbageCollectionSucceeded   helmchart/observability-logs-loki                       garbage collected 1 artifacts
10m         Normal   ResolvedDependencies         helmchart/blackbox-exporter-blackbox-exporter           resolved 1 chart dependencies
10m         Normal   ChartPackageSucceeded        helmchart/blackbox-exporter-blackbox-exporter           packaged 'blackbox-exporter-overlay' chart with version '1.0.0+fc9e6eb63f15'
10m         Normal   ArtifactUpToDate             helmchart/gitea-gitea                                   artifact up-to-date with remote revision: '1.0.0'
10m         Normal   ResolvedDependencies         helmchart/observability-logs-loki                       resolved 1 chart dependencies
10m         Normal   ChartPackageSucceeded        helmchart/observability-logs-loki                       packaged 'loki-overlay' chart with version '1.0.0+fc9e6eb63f15'
9m44s       Normal   ArtifactUpToDate             helmchart/awx-awx-operator                              artifact up-to-date with remote revision: '1.0.0'
9m41s       Normal   ArtifactUpToDate             helmchart/node-problem-detector-node-problem-detector   artifact up-to-date with remote revision: '1.0.0'
8m53s       Normal   ArtifactUpToDate             helmchart/grafana-grafana                               artifact up-to-date with remote revision: '1.0.3'
7m57s       Normal   GarbageCollectionSucceeded   helmchart/aiot-cloudbeaver                              garbage collected 1 artifacts
7m57s       Normal   ArtifactUpToDate             helmchart/aiot-cloudbeaver                              artifact up-to-date with remote revision: '1.0.0+fc9e6eb63f15'
7m37s       Normal   ArtifactUpToDate             helmchart/databases-pgadmin                             artifact up-to-date with remote revision: '1.0.0'
5m29s       Normal   ReconciliationSucceeded      kustomization/flux-system                               (combined from similar events): Reconciliation finished in 3.675637508s, next run in 10m0s
